#styr												
1
#endyr												
30
#rec_age										
1															
#n_ages										
12
# numbers of length intervals
81
#Length	bin
10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90
#nfsh
1
#names_fsh
FLEET1												
#catch												
110.229508289215	317.75898585053	517.908448795162	676.441020153987	529.567134154267	932.148614372198	910.833858486992	1812.41847715182	1009.11513226214	1208.72345075685	1327.68888366024	1357.93975974978	959.62571550963	1344.64334956344	1356.79904712946	1166.13453047837	2075.83067834161	1527.97770812074	1435.66897443007	1355.15100532917	1751.03179780323	1177.79487095438	1766.46806744177	1361.43483157865	1298.76992947244	1179.44956508937	1137.91369912097	1497.90797422757	1082.65102789473	1546.27625070233
#catch_cv											
0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
#n_ages_fsh								
30		
#n_lengths_fsh								
0															
#yrs_ages_fsh								
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
#sample_ages_fsh							
200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200
#page_fsh	2	3	4	5	6	7	8	9	10	11						
0.02	0.03	0.105	0.11	0.165	0.145	0.095	0.07	0.07	0.055	0.04	0.095
0.06	0.055	0.11	0.075	0.155	0.115	0.11	0.1	0.06	0.045	0.045	0.07
0.005	0.085	0.09	0.135	0.135	0.135	0.085	0.095	0.055	0.03	0.02	0.13
0.02	0.04	0.145	0.13	0.165	0.12	0.115	0.045	0.07	0.03	0.03	0.09
0.03	0.065	0.05	0.18	0.125	0.13	0.115	0.075	0.08	0.06	0.025	0.065
0.015	0.09	0.065	0.16	0.14	0.125	0.105	0.115	0.05	0.04	0.02	0.075
0.025	0.06	0.075	0.11	0.165	0.15	0.125	0.115	0.04	0.04	0.04	0.055
0.015	0.03	0.13	0.185	0.145	0.12	0.095	0.06	0.05	0.025	0.035	0.11
0.025	0.04	0.065	0.18	0.19	0.1	0.095	0.085	0.06	0.03	0.025	0.105
0.03	0.04	0.055	0.16	0.185	0.16	0.07	0.09	0.07	0.035	0.02	0.085
0.045	0.065	0.105	0.145	0.13	0.165	0.12	0.06	0.065	0.04	0.01	0.05
0.025	0.065	0.09	0.15	0.185	0.09	0.095	0.145	0.03	0.04	0.015	0.07
0.035	0.035	0.11	0.145	0.175	0.18	0.095	0.075	0.06	0.015	0.01	0.065
0.03	0.07	0.09	0.185	0.17	0.095	0.105	0.085	0.07	0.045	0.005	0.05
0.035	0.04	0.15	0.105	0.165	0.145	0.085	0.095	0.08	0.025	0.025	0.05
0.06	0.06	0.11	0.17	0.13	0.15	0.125	0.05	0.02	0.04	0.01	0.075
0.025	0.06	0.125	0.19	0.145	0.115	0.105	0.055	0.055	0.06	0.01	0.055
0.05	0.08	0.12	0.15	0.17	0.115	0.09	0.05	0.08	0.035	0.03	0.03
0.02	0.06	0.11	0.22	0.15	0.165	0.06	0.07	0.045	0.02	0.025	0.055
0.04	0.055	0.075	0.22	0.2	0.125	0.1	0.08	0.03	0.005	0.02	0.05
0.07	0.045	0.095	0.155	0.205	0.175	0.05	0.075	0.03	0.025	0.01	0.065
0.03	0.09	0.095	0.18	0.155	0.16	0.11	0.05	0.04	0.03	0.015	0.045
0.03	0.09	0.17	0.11	0.18	0.095	0.12	0.1	0.02	0.02	0.005	0.06
0.045	0.085	0.135	0.24	0.155	0.135	0.06	0.025	0.05	0.025	0.015	0.03
0.045	0.085	0.13	0.25	0.185	0.095	0.075	0.05	0.035	0.015	0.01	0.025
0.015	0.095	0.1	0.165	0.22	0.19	0.07	0.04	0.03	0.025	0.005	0.045
0.04	0.095	0.19	0.155	0.125	0.165	0.08	0.06	0.045	0.01	0.02	0.015
0.065	0.095	0.115	0.205	0.19	0.125	0.115	0.045	0.005	0.005	0	0.035
0.035	0.085	0.18	0.13	0.225	0.135	0.05	0.06	0.065	0.025	0	0.01
0.055	0.105	0.235	0.155	0.155	0.155	0.075	0.025	0.01	0.02	0.005	0.005
#wt_age_fsh	1 2	3	4	5	6	7	8	9	10	11						
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
0.000530656	0.001196328	0.002058265	0.003034987	0.004055212	0.005064698	0.006026226	0.006916921	0.007724891	0.008446113	0.009081853	0.009636695
